No	TMNo	EnNo	Name	GMNo	Mode	DateTime
30207	1	38		1	30	2014-03-28 17:55:18
30208	1	62		1	30	2014-03-28 17:58:41
30209	1	55		1	30	2014-03-28 18:05:51
30210	1	24		1	30	2014-03-28 18:06:34
30211	1	9		1	30	2014-03-28 18:09:29
30212	1	54		1	30	2014-03-28 18:22:20
30213	1	57		1	30	2014-03-28 18:39:38
30214	1	23		1	30	2014-03-28 18:47:27
30215	1	10		1	30	2014-03-29 07:22:13
30216	1	2		1	30	2014-03-29 07:22:16
30217	1	23		1	30	2014-03-29 07:29:55
30218	1	4		1	30	2014-03-29 07:32:55
30219	1	59		1	30	2014-03-29 07:33:55
30220	1	60		1	30	2014-03-29 07:37:37
30221	1	14		1	30	2014-03-29 07:39:51
30222	1	7		1	30	2014-03-29 07:41:11
30223	1	18		1	30	2014-03-29 07:41:14
30224	1	37		1	30	2014-03-29 07:41:16
30225	1	9		1	30	2014-03-29 07:41:17
30226	1	20		1	30	2014-03-29 07:41:21
30227	1	30		1	30	2014-03-29 07:41:23
30228	1	35		1	30	2014-03-29 07:41:25
30229	1	67		1	30	2014-03-29 07:42:25
30230	1	49		1	30	2014-03-29 07:42:29
30231	1	52		1	30	2014-03-29 07:42:47
30232	1	23		1	30	2014-03-29 07:43:32
30233	1	43		1	30	2014-03-29 07:44:17
30234	1	5		1	30	2014-03-29 07:44:22
30235	1	55		1	30	2014-03-29 07:47:09
30236	1	58		1	30	2014-03-29 07:47:21
30237	1	64		1	30	2014-03-29 07:48:27
30238	1	19		1	30	2014-03-29 07:48:31
30239	1	24		1	30	2014-03-29 07:48:33
30240	1	21		1	30	2014-03-29 07:51:11
30241	1	6		1	30	2014-03-29 07:51:22
30242	1	8		1	30	2014-03-29 07:51:26
30243	1	61		1	30	2014-03-29 07:51:32
30244	1	48		1	30	2014-03-29 07:51:34
30245	1	38		1	30	2014-03-29 07:51:37
30246	1	45		1	30	2014-03-29 07:51:39
30247	1	68		1	30	2014-03-29 07:52:01
30248	1	53		1	30	2014-03-29 07:52:26
30249	1	41		1	30	2014-03-29 07:53:29
30250	1	12		1	30	2014-03-29 07:54:13
30251	1	54		1	30	2014-03-29 07:54:16
30252	1	70		1	30	2014-03-29 07:56:53
30253	1	65		1	30	2014-03-29 07:56:56
30254	1	3		1	30	2014-03-29 07:57:49
30255	1	57		1	30	2014-03-29 07:58:44
30256	1	12		1	30	2014-03-29 08:00:02
30257	1	72		1	30	2014-03-29 08:08:36
30258	1	69		1	30	2014-03-29 08:13:21
30259	1	33		1	30	2014-03-29 08:15:44
30260	1	63		1	30	2014-03-29 08:55:14
30261	1	33		1	30	2014-03-29 09:33:38
30262	1	14		1	30	2014-03-29 09:46:37
30263	1	55		1	30	2014-03-29 09:54:12
30264	1	57		1	30	2014-03-29 10:05:05
30265	1	12		1	30	2014-03-29 12:00:53
30266	1	49		1	30	2014-03-29 12:01:35
30267	1	4		1	30	2014-03-29 12:01:59
30268	1	48		1	30	2014-03-29 12:02:01
30269	1	54		1	30	2014-03-29 12:02:03
30270	1	43		1	30	2014-03-29 12:02:05
30271	1	18		1	30	2014-03-29 12:02:08
30272	1	38		1	30	2014-03-29 12:02:11
30273	1	8		1	30	2014-03-29 12:02:14
30274	1	59		1	30	2014-03-29 12:02:16
30275	1	19		1	30	2014-03-29 12:02:17
30276	1	45		1	30	2014-03-29 12:02:20
30277	1	61		1	30	2014-03-29 12:02:22
30278	1	10		1	30	2014-03-29 12:02:26
30279	1	20		1	30	2014-03-29 12:02:28
30280	1	67		1	30	2014-03-29 12:02:37
30281	1	63		1	30	2014-03-29 12:02:39
30282	1	30		1	30	2014-03-29 12:02:45
30283	1	9		1	30	2014-03-29 12:02:47
30284	1	7		1	30	2014-03-29 12:02:49
30285	1	5		1	30	2014-03-29 12:02:54
30286	1	53		1	30	2014-03-29 12:03:04
30287	1	2		1	30	2014-03-29 12:03:07
30288	1	3		1	30	2014-03-29 12:03:09
30289	1	24		1	30	2014-03-29 12:03:27
30290	1	41		1	30	2014-03-29 12:06:47
30291	1	21		1	30	2014-03-29 12:07:34
30292	1	7		1	30	2014-03-29 12:09:02
30293	1	9		1	30	2014-03-29 12:09:12
30294	1	60		1	30	2014-03-29 12:11:57
30295	1	23		1	30	2014-03-29 12:12:56
30296	1	6		1	30	2014-03-29 12:20:29
30297	1	30		1	30	2014-03-29 12:20:44
30298	1	52		1	30	2014-03-29 12:21:05
30299	1	49		1	30	2014-03-29 12:21:12
30300	1	37		1	30	2014-03-29 12:21:19
30301	1	55		1	30	2014-03-29 12:22:21
30302	1	30		1	30	2014-03-29 12:25:48
30303	1	12		1	30	2014-03-29 12:27:30
30304	1	59		1	30	2014-03-29 12:29:28
30305	1	38		1	30	2014-03-29 12:33:38
30306	1	8		1	30	2014-03-29 12:33:41
30307	1	54		1	30	2014-03-29 12:34:03
30308	1	68		1	30	2014-03-29 12:51:58
30309	1	64		1	30	2014-03-29 12:56:13
30310	1	10		1	30	2014-03-29 13:18:39
30311	1	12		1	30	2014-03-29 15:09:40
30312	1	2		1	30	2014-03-31 07:03:44
30313	1	54		1	30	2014-03-31 07:22:48
30314	1	10		1	30	2014-03-31 07:29:37
30315	1	9		1	30	2014-03-31 07:29:40
30316	1	35		1	30	2014-03-31 07:29:41
30317	1	21		1	30	2014-03-31 07:29:45
30318	1	12		1	30	2014-03-31 07:30:37
30319	1	7		1	30	2014-03-31 07:32:10
30320	1	18		1	30	2014-03-31 07:32:14
30321	1	30		1	30	2014-03-31 07:32:15
30322	1	54		1	30	2014-03-31 07:32:45
30323	1	20		1	30	2014-03-31 07:33:37
30324	1	38		1	30	2014-03-31 07:33:39
30325	1	53		1	30	2014-03-31 07:33:44
30326	1	3		1	30	2014-03-31 07:33:46
30327	1	60		1	30	2014-03-31 07:34:10
30328	1	24		1	30	2014-03-31 07:37:30
30329	1	49		1	30	2014-03-31 07:38:46
30330	1	52		1	30	2014-03-31 07:39:01
30331	1	73		1	30	2014-03-31 07:39:05
30332	1	45		1	30	2014-03-31 07:39:53
30333	1	43		1	30	2014-03-31 07:41:24
30334	1	67		1	30	2014-03-31 07:42:33
30335	1	2		1	30	2014-03-31 07:44:19
30336	1	5		1	30	2014-03-31 07:44:59
30337	1	14		1	30	2014-03-31 07:46:31
30338	1	58		1	30	2014-03-31 07:47:29
30339	1	37		1	30	2014-03-31 07:48:25
30340	1	8		1	30	2014-03-31 07:48:29
30341	1	4		1	30	2014-03-31 07:49:59
30342	1	19		1	30	2014-03-31 07:50:58
30343	1	23		1	30	2014-03-31 07:52:34
30344	1	33		1	30	2014-03-31 07:53:32
30345	1	57		1	30	2014-03-31 07:53:34
30346	1	55		1	30	2014-03-31 07:53:39
30347	1	64		1	30	2014-03-31 07:53:57
30348	1	61		1	30	2014-03-31 07:54:45
30349	1	70		1	30	2014-03-31 07:54:48
30350	1	65		1	30	2014-03-31 07:54:51
30351	1	72		1	30	2014-03-31 07:54:53
30352	1	63		1	30	2014-03-31 07:55:52
30353	1	48		1	30	2014-03-31 07:59:28
30354	1	6		1	30	2014-03-31 08:00:38
30355	1	41		1	30	2014-03-31 08:04:42
30356	1	69		1	30	2014-03-31 08:23:10
30357	1	20		1	30	2014-03-31 08:46:35
30358	1	17		1	30	2014-03-31 08:50:59
30359	1	68		1	30	2014-03-31 09:07:38
30360	1	71		1	30	2014-03-31 09:22:00
30361	1	68		1	30	2014-03-31 10:22:33
30362	1	59		1	30	2014-03-31 11:03:06
30363	1	17		1	30	2014-03-31 12:00:56
30364	1	71		1	30	2014-03-31 12:01:08
30365	1	21		1	30	2014-03-31 12:01:44
30366	1	9		1	30	2014-03-31 12:02:04
30367	1	55		1	30	2014-03-31 12:02:07
30368	1	38		1	30	2014-03-31 12:02:12
